"fcsName","Label","dataset"
"sample1.fcs","aml","test"
"sample2.fcs","aml","test"
"sample3.fcs","aml","test"
"sample4.fcs","aml","test"
"sample5.fcs","aml","test"
"sample6.fcs","normal","test"
"sample7.fcs","normal","test"
"sample8.fcs","normal","test"
"sample9.fcs","normal","test"
"sample10.fcs","normal","test"
"sample11.fcs","aml","train"
"sample12.fcs","aml","train"
"sample13.fcs","aml","train"
"sample14.fcs","aml","train"
"sample15.fcs","aml","train"
"sample16.fcs","normal","train"
"sample17.fcs","normal","train"
"sample18.fcs","normal","train"
"sample19.fcs","normal","train"
"sample20.fcs","normal","train"
